card,order,Archive Note,adm.id_mat,adm.isadPartOf,adm.uuid_mat,ResourceID,brocade.id,Warehouse Location (begin),adm.note,Volgnummer,Warehouse Location (end)
e22_Items,1,AFG_098_058,tg:rubgr:3750_#1,isad:rub:3021,883eaa0b-5ca3-5345-a316-e3c3738ebd04,883eaa0b-5ca3-5345-a316-e3c3738ebd04,tg:rubgr:3750_#1,,,,
e22_Items,1,AFG_013_001,tg:rubgr:598_#1,isad:rub:2943,6cbf541f-bc42-5aad-a563-94aebca8d083,6cbf541f-bc42-5aad-a563-94aebca8d083,tg:rubgr:598_#1,,,,
e22_Items,1,AFG_097_074,tg:rubgr:3628_#1,isad:rub:3021,ffac129d-84bd-563d-887e-078fe0cc22fe,ffac129d-84bd-563d-887e-078fe0cc22fe,tg:rubgr:3628_#1,,,,
e22_Items,1,AFG_077_006,tg:rubgr:2322_#1,isad:rub:3007,5b63b7bc-ec00-5ebd-8022-fc5e04187bff,5b63b7bc-ec00-5ebd-8022-fc5e04187bff,tg:rubgr:2322_#1,,,,
e22_Items,1,AFG_098_048,tg:rubgr:3740_#1,isad:rub:3021,0b9a0f0f-d3cb-5252-b4db-86e5ddc0090e,0b9a0f0f-d3cb-5252-b4db-86e5ddc0090e,tg:rubgr:3740_#1,,,,
e22_Items,1,AFG_024_002,tg:rubgr:1120_#1,isad:rub:2954,1b98f93a-f9ad-56b5-a3e3-9665fd549efd,1b98f93a-f9ad-56b5-a3e3-9665fd549efd,tg:rubgr:1120_#1,,,,
e22_Items,1,AFG_097_084,tg:rubgr:3638_#1,isad:rub:3021,7a13299b-3203-5266-87b9-f07dc46c3a2e,7a13299b-3203-5266-87b9-f07dc46c3a2e,tg:rubgr:3638_#1,,,,
e22_Items,1,AFG_077_016,tg:rubgr:2332_#1,isad:rub:3007,3ca4d00d-5c92-59f3-9477-f4c4fbdd479d,3ca4d00d-5c92-59f3-9477-f4c4fbdd479d,tg:rubgr:2332_#1,,,,
e22_Items,1,AFG_012_002,tg:rubgr:588_#1,isad:rub:2942,e517c8de-074d-5f55-b5e5-6ccec95216d7,e517c8de-074d-5f55-b5e5-6ccec95216d7,tg:rubgr:588_#1,,,,
e22_Items,1,AFG_023_006,tg:rubgr:1058_#1,isad:rub:2953,b25d4e85-6747-5f6f-8f12-bbf70f53a0cf,b25d4e85-6747-5f6f-8f12-bbf70f53a0cf,tg:rubgr:1058_#1,,,,
e22_Items,1,AFG_109_023,tg:rubgr:4143_#1,isad:rub:3030,5ec694bf-b2bd-5275-b93f-7a3ea9a2f480,5ec694bf-b2bd-5275-b93f-7a3ea9a2f480,tg:rubgr:4143_#1,,,,
e22_Items,1,AFG_046_068,tg:rubgr:1765_#1,isad:rub:2976,94d13175-0239-556d-b9a7-7229fc5ce63a,94d13175-0239-556d-b9a7-7229fc5ce63a,tg:rubgr:1765_#1,,,,
e22_Items,1,AFG_090_035,tg:rubgr:3115_#1,isad:rub:3018,f54b955d-f3e6-5468-b866-8145df3a9143,f54b955d-f3e6-5468-b866-8145df3a9143,tg:rubgr:3115_#1,,,,
e22_Items,1,AFG_109_033,tg:rubgr:4153_#1,isad:rub:3030,0ff6c2f1-2384-59f3-b8a4-f86b7adce6c8,0ff6c2f1-2384-59f3-b8a4-f86b7adce6c8,tg:rubgr:4153_#1,,,,
e22_Items,1,AFG_046_078,tg:rubgr:1775_#1,isad:rub:2976,a964cc8c-b93b-5c62-804f-cbd42ad89a14,a964cc8c-b93b-5c62-804f-cbd42ad89a14,tg:rubgr:1775_#1,,,,
e22_Items,1,AFG_086_027,tg:rubgr:2769_#1,isad:rub:3016,95947417-9a4b-5439-8a4a-92970a63a8e3,95947417-9a4b-5439-8a4a-92970a63a8e3,tg:rubgr:2769_#1,,,,
