ResourceID,brocade.id,card,Documented Place Order,place_au_code,Documented Place Name Widget
11daa277-63db-5c88-a710-edbfcd31196f,tg:rubhs:31_#1,Places,1,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
96054547-ed09-553f-ad51-49fb23faff12,tg:rubhs:21_#1,Places,1,au::102047,"dlod={""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,Places,1,au::106158,"dlod={""name"":""Oxford (Oxford District)"",""ark"":""ark:/83110/x0/4d4299c2-6c5b-5b2b-a186-d51cbb671a46"",""uri"":""/subjects/8927"",""id"":""au::106158"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,Places,2,au::105203,"dlod={""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11880"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,Places,3,au::100105,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/11477"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,Places,4,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,Places,1,au::102018,"dlod={""name"":""München (München, Landeshauptstadt)"",""ark"":""ark:/83110/x0/8ec95506-7f81-5c3c-b061-9aa8478ebe4b"",""uri"":""/subjects/15287"",""id"":""au::102018"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,Places,2,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,Places,3,au::105989,"dlod={""name"":""Cambridge (Waikato)"",""ark"":""ark:/83110/x0/c445a8f1-54a6-5659-82c0-354a23caeeba"",""uri"":""/subjects/11978"",""id"":""au::105989"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
7c1308fe-7e53-5742-ab1c-6d448ad06b28,tg:rubhs:43_#1,Places,1,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,Places,1,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,Places,2,au::106728,"dlod={""name"":""Zurich (Zwitserland)"",""ark"":""ark:/83110/x0/58ee2c31-f4f6-552f-9efa-d7f9907d7afb"",""uri"":""/subjects/11582"",""id"":""au::106728"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,Places,3,au::106727,"dlod={""name"":""Winterthur (Bezirk Winterthur)"",""ark"":""ark:/83110/x0/08f1b9aa-2503-5481-8b8f-dccfae2eda8b"",""uri"":""/subjects/13910"",""id"":""au::106727"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,Places,4,au::106648,"dlod={""name"":""Luzern (Luzern)"",""ark"":""ark:/83110/x0/347b7148-f3c2-5372-9f5a-b08d516f77e7"",""uri"":""/subjects/9163"",""id"":""au::106648"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,Places,5,au::102021,"dlod={""name"":""Neustadt (Landkreis Eichsfeld)"",""ark"":""ark:/83110/x0/efe60995-1c12-53de-94b6-6bc27fb3ff73"",""uri"":""/subjects/15501"",""id"":""au::102021"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,Places,1,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,Places,2,au::105187,"dlod={""name"":""Rotterdam (Zuid-Holland)"",""ark"":""ark:/83110/x0/2ee58405-b913-5a67-b00b-69b58b4ab0d9"",""uri"":""/subjects/9450"",""id"":""au::105187"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,Places,3,au::102849,"dlod={""name"":""Parijs (Paris)"",""ark"":""ark:/83110/x0/826b2ba0-7ecc-592c-877e-efeef61aeecb"",""uri"":""/subjects/14911"",""id"":""au::102849"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,Places,4,au::106852,"dlod={""name"":""Watford (Daventry District)"",""ark"":""ark:/83110/x0/61dbf47b-f3ae-54cf-b0d1-86b12cf797f0"",""uri"":""/subjects/14889"",""id"":""au::106852"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,Places,5,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,Places,6,au::104803,"dlod={""name"":""Zundert (Noord-Brabant)"",""ark"":""ark:/83110/x0/c571926c-c2be-5549-aad8-bac82ff2f029"",""uri"":""/subjects/8883"",""id"":""au::104803"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,Places,7,au::100105,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/11477"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,Places,1,au::102047,"dlod={""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,Places,2,au::106801,"dlod={""name"":""Braunschweig (Nedersaksen)"",""ark"":""ark:/83110/x0/3afeac86-6b75-54bf-a765-f5e44ad9a04f"",""uri"":""/subjects/14383"",""id"":""au::106801"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,Places,3,au::103088,"dlod={""name"":""Rijsel (Arrondissement de Lille)"",""ark"":""ark:/83110/x0/8559f378-e576-5c55-8772-63fcc0b5a763"",""uri"":""/subjects/10433"",""id"":""au::103088"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,Places,4,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,Places,5,au::106086,"dlod={""name"":""Windsor (Portland)"",""ark"":""ark:/83110/x0/618f3fe3-0cdf-5376-9641-67d8acb55ad3"",""uri"":""/subjects/9730"",""id"":""au::106086"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
ac97416f-0ede-52e6-95aa-bd18f3fbe6d2,tg:rubhs:28_#1,Places,1,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
f54b46cc-554a-59a8-9e15-fa50f84521b2,tg:rubhs:38_#1,Places,1,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/9484"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,Places,1,au::105203,"dlod={""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11880"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,Places,2,au::103855,"dlod={""name"":""Verona (Provincia di Verona)"",""ark"":""ark:/83110/x0/c83663f4-61e1-5ed5-996f-1dbfc889bd27"",""uri"":""/subjects/8713"",""id"":""au::103855"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,Places,3,au::103726,"dlod={""name"":""Mantua (Mantova)"",""ark"":""ark:/83110/x0/a2c4f6ba-4a68-580c-a5b2-546e0a3c51d5"",""uri"":""/subjects/9187"",""id"":""au::103726"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,Places,4,au::106680,"dlod={""name"":""Lugano (Lugano District)"",""ark"":""ark:/83110/x0/eb61f09c-079b-56cf-9b60-5f040b495201"",""uri"":""/subjects/9151"",""id"":""au::106680"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
d8c011d2-a6a2-566b-8ef4-032942ed15a8,tg:rubhs:81_#1,Places,1,au::102018,"dlod={""name"":""München (München, Landeshauptstadt)"",""ark"":""ark:/83110/x0/8ec95506-7f81-5c3c-b061-9aa8478ebe4b"",""uri"":""/subjects/15287"",""id"":""au::102018"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
d8c011d2-a6a2-566b-8ef4-032942ed15a8,tg:rubhs:81_#1,Places,2,au::101982,"dlod={""name"":""Augsburg (Kreisfreie Stadt Augsburg)"",""ark"":""ark:/83110/x0/41ead4a3-808a-5689-b8df-574651da34c3"",""uri"":""/subjects/14633"",""id"":""au::101982"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
b26adc0c-a5bc-5319-9290-dd8d4aa6deac,tg:rubhs:215_#1,Places,1,au::102989,"dlod={""name"":""Metz (Moselle)"",""ark"":""ark:/83110/x0/d5eafadb-58ae-5686-a8b1-ea8b7dee3fb9"",""uri"":""/subjects/12772"",""id"":""au::102989"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
b541f3f7-0ade-5d72-820c-7123d84daa6e,tg:rubhs:75_#1,Places,1,au::104810,"dlod={""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/13849"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
b541f3f7-0ade-5d72-820c-7123d84daa6e,tg:rubhs:75_#1,Places,2,au::100105,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/11477"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
