ResourceID,brocade.id,card,source_date,Restriction Type
d417d7f1-6dc2-57d3-8d66-b96f8fdb622d,tg:rubgr:4247_#1,e22_UsageRestrictions,1963,permission required
63deea55-17b9-53c6-816b-39fbc7fbc6ba,tg:rubgr:1509_#1,e22_UsageRestrictions,1970,permission required
84b872cd-ee6d-537c-bf39-a4102ae35745,tg:rubgr:4121_#1,e22_UsageRestrictions,1956,permission required
36b8ed50-d2b2-524d-a385-19f4ee1e28da,tg:rubgr:3986_#1,e22_UsageRestrictions,1956,permission required
cf7f9bef-44f3-5318-8302-7d23fcf31233,tg:rubgr:3996_#1,e22_UsageRestrictions,1956,permission required
2bbea145-1b8e-536f-b44a-be9080b3be73,tg:rubgr:2340_#1,e22_UsageRestrictions,1957,permission required
e05b91e1-04ad-5d8f-b45c-611f05c76838,tg:rubgr:2350_#1,e22_UsageRestrictions,1973,permission required
b440ca79-92cc-5a94-bc95-9e5233de0c66,tg:rubgr:3607_#1,e22_UsageRestrictions,1974,permission required
7adb19f3-c902-5593-a861-8eb528d2f9d6,tg:rubgr:4066_#1,e22_UsageRestrictions,1956,permission required
15976353-a50d-5017-ba96-411ba5d6186e,tg:rubgr:380_#1,e22_UsageRestrictions,1978,permission required
32cae1d4-cce9-5821-b2c3-1531f381f937,tg:rubgr:1005_#1,e22_UsageRestrictions,1947,permission required
5a0980a9-a941-571d-8e1b-e991d031e611,tg:rubgr:817_#1,e22_UsageRestrictions,1953,permission required
9b45f2fd-a3a2-5a93-8c0e-24c94a63832f,tg:rubgr:4808_#1,e22_UsageRestrictions,1952,permission required
70a071c9-c390-5857-82f1-62bd1b9792e9,tg:rubgr:3782_#1,e22_UsageRestrictions,1973,permission required
e5871c25-50a8-5d19-b5d7-0d342bf0c6b0,tg:rubgr:2086_#1,e22_UsageRestrictions,1973,permission required
e56242ca-2c93-59eb-bb2a-77b23d7f9f90,tg:rubgr:1023_#1,e22_UsageRestrictions,1947,permission required
a94826cf-c741-5c21-b321-37f4989bf369,tg:rubgr:3759_#1,e22_UsageRestrictions,1971,permission required
953bb02f-db89-55f5-ab97-351b8b6f1884,tg:rubgr:1337_#1,e22_UsageRestrictions,1975,permission required
50bbd747-ac39-53ce-b0df-fad705613118,tg:rubgr:3547_#1,e22_UsageRestrictions,1975,permission required
77f5b314-98a5-5c08-a5c5-7f02857fef1f,tg:rubgr:399_#1,e22_UsageRestrictions,1952,permission required
dce5f192-b870-523f-8ae1-4feb9693d9b2,tg:rubgr:4261_#1,e22_UsageRestrictions,1967,permission required
e088c059-33a3-5a42-8b23-f7e608319b1b,tg:rubgr:976_#1,e22_UsageRestrictions,1947,permission required
b282bda2-e9e5-5bc6-a2bf-17ded5ce488f,tg:rubgr:2930_#1,e22_UsageRestrictions,1958,permission required
37bb4d86-c7da-5ff4-8248-6a191c199051,tg:rubgr:1826_#1,e22_UsageRestrictions,1965,permission required
2a3db350-ad6e-5b99-b57a-11e60bf7b05e,tg:rubgr:4597_#1,e22_UsageRestrictions,1953,permission required
4316d779-9fdf-57ab-a1be-c3f6ef07c780,tg:rubgr:2299_#1,e22_UsageRestrictions,1973,permission required
1cdf003d-fe9a-557c-a9d0-7b7b9c23d2ff,tg:rubgr:3937_#1,e22_UsageRestrictions,1962,permission required
c7eaf396-0894-55b1-a6fb-df3a16cefaf0,tg:rubgr:899_#1,e22_UsageRestrictions,1948,permission required
365d88cf-18ce-5284-9e74-3796581c5c31,tg:rubgr:539_#1,e22_UsageRestrictions,1958,permission required
d29a4bb6-c351-57a5-809f-0eeaa5e8b775,tg:rubgr:1336_#1,e22_UsageRestrictions,1975,permission required
aaf41a34-deda-5e78-82e5-6de1045ef8b4,tg:rubgr:2761_#1,e22_UsageRestrictions,1954,permission required
2ba8c0a4-ba6f-5d10-bb16-ea2f7127e39a,tg:rubgr:5_#1,e22_UsageRestrictions,1966,permission required
786e4b3a-3eca-50ea-8b1f-4b022c9e68f0,tg:rubgr:2073_#1,e22_UsageRestrictions,1962,permission required
8d98f088-a60a-5c41-9dbf-95abbaa58d65,tg:rubgr:516_#1,e22_UsageRestrictions,1952,permission required
533a636a-537c-5622-a893-254dcf1b912a,tg:rubgr:2184_#1,e22_UsageRestrictions,1973,permission required
43a24e8d-8512-556d-8e76-653a4823c4d1,tg:rubgr:3690_#1,e22_UsageRestrictions,1970,permission required
f7cc4abb-2e16-5632-9453-6e053f1853a3,tg:rubgr:1969_#1,e22_UsageRestrictions,1976,permission required
393b1e3c-e6c3-5e6c-8edb-f70c23f7873c,tg:rubgr:1257_#1,e22_UsageRestrictions,1979,permission required
52eb19fd-7333-5c7c-9bba-ccaffded1292,tg:rubgr:3987_#1,e22_UsageRestrictions,1957,permission required
1b01af92-070e-5136-bf73-b0426a6e1b4f,tg:rubgr:4120_#1,e22_UsageRestrictions,1978,permission required
a58cd04d-022f-5055-bd6e-b44dcaf85ae6,tg:rubgr:3616_#1,e22_UsageRestrictions,1972,permission required
e9e844a9-ccc0-5251-869f-8c73eb185595,tg:rubgr:1956_#1,e22_UsageRestrictions,1972,permission required
c4ea9311-8ad0-59e6-9704-f90f79bee299,tg:rubgr:3674_#1,e22_UsageRestrictions,1973,permission required
d03989d1-b4a0-5be3-93fe-f7eda8cfdc05,tg:rubgr:1651_#1,e22_UsageRestrictions,1966,permission required
ed1c988d-ea64-51ab-a373-5a6c01772c0b,tg:rubgr:3031_#1,e22_UsageRestrictions,1953,permission required
e481ddb6-0fe5-5333-ab55-171737c3dbbe,tg:rubgr:2991_#1,e22_UsageRestrictions,1952,permission required
4eb7bf3b-faac-55bc-b63e-f40e619ec3c7,tg:rubgr:216_#1,e22_UsageRestrictions,1965,permission required
3efad8fa-ce33-57d7-b573-ed790152a314,tg:rubgr:1878_#1,e22_UsageRestrictions,1977,permission required
bc8cd056-6f9d-530c-87ca-bb08d2f9d78f,tg:rubgr:14_#1,e22_UsageRestrictions,1954,permission required
5955809a-bdfb-5da3-b1f2-469452e313a4,tg:rubgr:3765_#1,e22_UsageRestrictions,1975,permission required
43a201fc-bd31-56c2-8d53-50de21abf370,tg:rubgr:917_#1,e22_UsageRestrictions,1982,permission required
6bb6d040-05d6-5b95-a588-f95c37a6c945,tg:rubgr:1263_#1,e22_UsageRestrictions,1952,permission required
c0ccbf4c-7179-54a6-868e-9644fb24b03d,tg:rubgr:351_#1,e22_UsageRestrictions,1977,permission required
9a273295-0aba-5e5a-86f0-de4d1f2481ec,tg:rubgr:3978_#1,e22_UsageRestrictions,1953,permission required
04ab4b0b-41d5-59f8-9030-89026a3909a7,tg:rubgr:1691_#1,e22_UsageRestrictions,1974,permission required
7a37cb1e-f2d1-5c47-8009-b13dd6c1f4b0,tg:rubgr:333_#1,e22_UsageRestrictions,1957,permission required
cde7b1f7-0d9a-5ab4-a589-aa44803b46ed,tg:rubgr:5045_#1,e22_UsageRestrictions,1957,permission required
73ff2f1d-3c93-5925-95c1-32ed74f644e6,tg:rubgr:975_#1,e22_UsageRestrictions,1947,permission required
9eb6b5db-6101-5b13-aa22-4fec97e98be7,tg:rubgr:4104_#1,e22_UsageRestrictions,1960,permission required
f75695e1-ccdb-5a2c-9a9f-bf2fe605ba0b,tg:rubgr:4114_#1,e22_UsageRestrictions,1960,permission required
84220d55-59b2-5ebc-9d13-2a58a7dfa077,tg:rubgr:3985_#1,e22_UsageRestrictions,1956,permission required
0d2f87a6-c0b2-588d-9b08-a36f15334746,tg:rubgr:3995_#1,e22_UsageRestrictions,1966,permission required
9024b17f-ca50-5f87-b438-6c56c6209b45,tg:rubgr:1472_#1,e22_UsageRestrictions,1973,permission required
25d87c1b-567b-5d66-af39-0c0ffb94e43f,tg:rubgr:540_#1,e22_UsageRestrictions,1970,permission required
d6ca498d-5a9b-55f7-a35d-5237ad4eac82,tg:rubgr:4918_#1,e22_UsageRestrictions,1956,permission required
2467a15c-f337-5b5f-8f21-9edd65c42e1e,tg:rubgr:4908_#1,e22_UsageRestrictions,1956,permission required
38f0512a-0379-51f7-871f-93e26bbf9a32,tg:rubgr:988_#1,e22_UsageRestrictions,1947,permission required
75033c36-1d43-515d-bf35-1be9f80afa97,tg:rubgr:4463_#1,e22_UsageRestrictions,1973,permission required
02df625d-d3e7-5751-89a1-3c2ece7a2ac8,tg:rubgr:1218_#1,e22_UsageRestrictions,1954,permission required
4ab13b84-1977-5ec1-a975-70ba8e38c165,tg:rubgr:2204_#1,e22_UsageRestrictions,1966,permission required
7366d8c3-98d7-5fa6-ac15-f20882486a64,tg:rubgr:1074_#1,e22_UsageRestrictions,1948,permission required
fb610ee6-8c82-5f64-8a59-5eae6f69965f,tg:rubgr:1908_#1,e22_UsageRestrictions,1959,permission required
007b06e7-62ef-53e9-98d0-ed454316bfe5,tg:rubgr:3658_#1,e22_UsageRestrictions,1973,permission required
1d1248dd-2b3b-5994-a8e0-b8a73dc974ce,tg:rubgr:3730_#1,e22_UsageRestrictions,1974,permission required
17b44162-8c7a-5f66-a352-6676276ff201,tg:rubgr:3994_#1,e22_UsageRestrictions,1966,permission required
62ea3316-f304-5894-937e-7b114c271d8e,tg:rubgr:3984_#1,e22_UsageRestrictions,1956,permission required
50728785-eda4-5900-9569-c96d09099184,tg:rubgr:4909_#1,e22_UsageRestrictions,1956,permission required
3984fad8-6e52-5cd1-92bc-d20947101dc9,tg:rubgr:989_#1,e22_UsageRestrictions,1947,permission required
f0d05692-f2c0-5748-8aab-133520e99c96,tg:rubgr:406_#1,e22_UsageRestrictions,1973,permission required
c13a5252-1ecb-570b-a6ee-1c36f5b3e1b1,tg:rubgr:1303_#1,e22_UsageRestrictions,1969,permission required
ca5ebfe5-0bb3-526a-b61e-c66e224da940,tg:rubgr:1313_#1,e22_UsageRestrictions,1969,permission required
a89ee552-b3e5-5a30-a8a3-53a27e08f94d,tg:rubgr:3336_#1,e22_UsageRestrictions,1963,permission required
