brocade.id,Change History Identifier,Change History Timespan,Change History User,Change History Description,Change History Activity,ResourceID
tg:rubhs:56,,2016-07-20 11:16:31 +0000 UTC,dbuelens,,Creatie,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9381998,2016-07-20 11:16:31 +0000 UTC,dbuelens,Bewerken van de identificatie,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9381999,2016-07-20 11:16:31 +0000 UTC,dbuelens,Bewerken van de items,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9382000,2016-07-20 11:16:31 +0000 UTC,dbuelens,Bewerken van de kenmerken,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9382004,2016-07-20 11:16:31 +0000 UTC,dbuelens,Bewerken van de ISAAR relaties,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9382007,2016-07-20 11:16:36 +0000 UTC,dbuelens,Bewerken van de identificatie,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9382016,2016-07-20 11:16:48 +0000 UTC,dbuelens,Bewerken van de identificatie,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9382034,2016-07-20 11:16:54 +0000 UTC,dbuelens,Bewerken van de identificatie,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,9389873,2016-07-29 11:00:32 +0000 UTC,dbuelens,Bewerken van de identificatie,edit,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,10130827,2017-07-13 10:21:32 +0000 UTC,dbuelens,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,10134556,2017-07-13 10:22:52 +0000 UTC,dbuelens,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,10138294,2017-07-13 10:27:24 +0000 UTC,dbuelens,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,10181979,2017-08-10 15:57:49 +0000 UTC,dbuelens,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,10757503,2017-11-17 09:58:04 +0000 UTC,dbuelens,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,11812882,2018-09-26 12:13:18 +0000 UTC,tomdmey,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,11816905,2018-09-26 12:13:45 +0000 UTC,tomdmey,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,11820928,2018-09-26 12:14:22 +0000 UTC,tomdmey,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,12399046,2019-04-30 16:01:49 +0000 UTC,egacoms,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:56,15475019,2022-01-07 10:41:17 +0000 UTC,egacoms,Markering als gecontroleerd,,654d6d97-997d-555f-ad89-c11f184b9917
tg:rubhs:132,,2016-07-26 11:52:53 +0000 UTC,dbuelens,,Creatie,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,9385063,2016-07-26 11:52:53 +0000 UTC,dbuelens,Bewerken van de identificatie,edit,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,9385064,2016-07-26 11:52:53 +0000 UTC,dbuelens,Bewerken van de items,edit,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,9385065,2016-07-26 11:52:53 +0000 UTC,dbuelens,Bewerken van de kenmerken,edit,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,9385066,2016-07-26 11:52:53 +0000 UTC,dbuelens,Bewerken van de annotaties,edit,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,9385069,2016-07-26 11:52:53 +0000 UTC,dbuelens,Bewerken van de ISAAR relaties,edit,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,9391927,2016-08-01 13:28:39 +0000 UTC,dbuelens,Bewerken van de identificatie,edit,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,9391930,2016-08-01 13:28:39 +0000 UTC,dbuelens,Bewerken van de annotaties,edit,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,10130713,2017-07-13 10:21:32 +0000 UTC,dbuelens,Markering als gecontroleerd,,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,10134442,2017-07-13 10:22:52 +0000 UTC,dbuelens,Markering als gecontroleerd,,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,10138180,2017-07-13 10:27:24 +0000 UTC,dbuelens,Markering als gecontroleerd,,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,10181865,2017-08-10 15:57:49 +0000 UTC,dbuelens,Markering als gecontroleerd,,da18148f-d2af-5bae-8550-df807cde96ef
tg:rubhs:132,10757386,2017-11-17 09:58:04 +0000 UTC,dbuelens,Markering als gecontroleerd,,da18148f-d2af-5bae-8550-df807cde96ef
