ResourceID,brocade.id,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
bbd86a70-370b-5266-842f-1b6c14e7c06a,tg:rubdoc:4235,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:1105,image low resolution,False
78cf5ded-ba24-5068-b9fd-2ec40ea0628f,tg:rubdoc:88,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:767,image low resolution,False
486a25fa-c83d-5345-8640-9b8578ff958c,tg:rubdoc:98,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:776,image low resolution,False
0b1284f2-9f6a-58a3-a9f7-f9526b401008,tg:rubdoc:108,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:685,image low resolution,False
7117852b-40ad-53a3-814a-ad7374c63bea,tg:rubdoc:118,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:695,image low resolution,False
c0b496f0-7b14-50bb-9cd4-4ab4752fd19c,tg:rubdoc:4247,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:907,image low resolution,False
8db72623-c821-530d-aeaa-234435d2f777,tg:rubdoc:4257,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:936,image low resolution,False
5412a24d-bec5-537e-a3af-e93b0b41de98,tg:rubdoc:53,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:735,image low resolution,False
4648dab4-2af8-5559-b1e8-fb10b8892e8e,tg:rubdoc:43,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:725,image low resolution,False
367c73ef-412d-5056-874a-eb855702e473,tg:rubdoc:4278,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:979,image low resolution,False
a9e3fcdd-6b37-5cdb-a8a5-31602405cebc,tg:rubdoc:4300,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:1017,image low resolution,False
b4f44c60-1da7-5173-9f0b-b159c3d138cc,tg:rubdoc:4268,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:rub:947,image low resolution,False
