ResourceID,brocade.id,card,order,source_field,Keyword
d4d5d99b-cc91-583f-aba6-14b58f3e39d0,tg:rubgr:3721,Keywords,1,kenmerken.rubkeyword,"Junius, Franciscus"
d4d5d99b-cc91-583f-aba6-14b58f3e39d0,tg:rubgr:3721,Keywords,2,kenmerken.rubkeyword,"Plinius Secundus, Gaius"
787977c6-737c-565d-adab-a0c5d7cd499f,tg:rubgr:729,Keywords,1,kenmerken.rubkeyword,"Parrot, André"
4b49359d-c991-5d73-9a5b-e7525f5101fc,tg:rubgr:683,Keywords,1,kenmerken.rubkeyword,"Scharf, Alfred"
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,Keywords,1,kenmerken.rubkeyword,"Huys, Pieter"
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,Keywords,2,kenmerken.rubkeyword,"Mandijn, Jan"
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,Keywords,3,kenmerken.rubkeyword,"Castelli, Enrico"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,1,kenmerken.rubkeyword,"Granvelle, Antoine Perrenot de"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,2,kenmerken.rubkeyword,"Meurs, Jan van"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,3,kenmerken.rubkeyword,"Castan, Auguste"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,4,kenmerken.rubkeyword,inventaris
68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,tg:rubgr:2560,Keywords,1,kenmerken.rubkeyword,"Cleve, Marten van (I)"
b054fb3a-43e0-5770-af6e-03df58406ab5,tg:rubgr:3664,Keywords,1,kenmerken.rubkeyword,"Hind, Arthur Mayger"
799335a5-10ae-5d78-ad7b-3d9e7e510a2e,tg:rubgr:1659,Keywords,1,kenmerken.rubkeyword,"Fetti, Domenico"
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,1,kenmerken.rubkeyword,"Clovio, Giulio"
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,2,kenmerken.rubkeyword,Laatste Oordeel
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,3,kenmerken.rubkeyword,"Farnese, Alessandro"
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,4,kenmerken.rubkeyword,New York Public Library
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,Keywords,1,kenmerken.rubkeyword,iconografie
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,Keywords,2,kenmerken.rubkeyword,kostuum
c6d9e256-6a1e-5a3a-9925-b584353913a0,tg:rubgr:1989,Keywords,1,kenmerken.rubkeyword,"Londen, Witt Library"
c1213526-8aa3-5636-b761-88b23fd5499a,tg:rubgr:5163,Keywords,1,kenmerken.rubkeyword,inventaris
c1213526-8aa3-5636-b761-88b23fd5499a,tg:rubgr:5163,Keywords,2,kenmerken.rubkeyword,"Bredius, Abraham"
6865645d-835d-5edb-a6fa-84e89256c876,tg:rubgr:4322,Keywords,1,kenmerken.rubkeyword,Meester van het Weens Schottenaltaarstuk
6865645d-835d-5edb-a6fa-84e89256c876,tg:rubgr:4322,Keywords,2,kenmerken.rubkeyword,Rafael
6865645d-835d-5edb-a6fa-84e89256c876,tg:rubgr:4322,Keywords,3,kenmerken.rubkeyword,"Künstler, Gustav"
31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,tg:rubgr:115,Keywords,1,kenmerken.rubkeyword,"Brandt, Sebastian"
31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,tg:rubgr:115,Keywords,2,kenmerken.rubkeyword,Ovidius
31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,tg:rubgr:115,Keywords,3,kenmerken.rubkeyword,"Panofsky, Erwin"
04fbc0f6-7964-5fec-aa99-f37952fc1df4,tg:rubgr:1120,Keywords,1,kenmerken.rubkeyword,"Demus, Klaus"
609021a6-c817-5bed-98cc-6916534b4d63,tg:rubgr:4772,Keywords,1,kenmerken.rubkeyword,Rafael
