Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card,brocade.id,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Description,Description Type,Description Language,Dimension Source Note,Illustration URL,Illustration Type,adm.acquiredVia,adm.inv,adm.isadPartOf,adm.plaatsingsnummer,adm.note,adm.volgnummer,adm.magazijnplaats,adm.magazijnplaats_alt6,Legacy Information Value,Legacy Information Type,Legacy Information Published,Object Type,ire.isaar.uuid,ISAAR Brocade ID,Entity Relation,Entity Note,Entity Widget,Entity Identifier,Visual ISAAR Brocade ID,Visual Actor Role,Visual Actor Widget,Visual Actor Identifier,Brocade Production Actor ID,Production Actor Role,Production Actor Widget,Production Actor Identifier,Start Date,End Date,Start Date Note,Start Date Note Type,Start Date Note Language
tg:lhph:15077,Foto's,003889a2-1f58-502e-8ee9-df274f09a963,Letterenhuis,https://data.letterenhuis.be/ark:/24970/003889a2-1f58-502e-8ee9-df274f09a963,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,Acquisitions,tg:lhph:15077,tr:lh:5154,"dlod={""id"":""ark:/24970/x0/c9cd8420-1de3-5e57-a6b3-35b98155a3a6"",""text"":""Archiefstukken van Maurice van den Dries"",""name"":""Archiefstukken van Maurice van den Dries"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""accessions"",""json"":""""}",ark:/24970/x0/c9cd8420-1de3-5e57-a6b3-35b98155a3a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,Descriptions,,,,,id.desc,,,,,,,"Maurice van den Dries, borststuk.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,DimensionSourceNotes,tg:lhph:15077,,,,kenmerken.lhformatph,,,,,,,,,,115 x 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,DimensionSourceNotes,tg:lhph:15077,,,,kenmerken.lhformatph,,,,,,,,,,115 x 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,Images,tg:lhph:15077,,,,ill.lowres,,,,,,,,,,,https://anet.be/docstore/d:lh:15279,Lage resolutie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,Items,tg:lhph:15077,,,,,,,,,,,,,,,,,tr:lh:5154,101682/1,,D 791 / P,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,LegacyInformation,,,,,id.objectNumber,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000014326,referentienummer,False,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,LegacyInformation,,,,,brocade.id,,,,,,,,,,,,,,,,,,,,,tg:lhph:15077,brocade id,False,,,,,,,,,,,,,,,,,,,,
,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,1,LegacyInformation,,,,,brocade.url,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:15077/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
