Production Place Identifier,id,Production Place Name,DB,Record ID,Record Place Name,Brocade Production Place ID,ResourceID
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1000,,au::104810,79565060-3da2-59f7-b108-9ff659ea526e
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1001,,au::104810,5f31525e-4c33-5e57-a946-8c03cd21707b
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1002,,au::104810,c891da0f-722f-53c2-9a48-0ac05494227a
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1003,,au::104810,1bb7a9a1-d420-58fb-9bd3-b1a53d276d5b
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1004,,au::104810,616e622b-ffb7-56ee-a6aa-7aa34e4f6837
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1005,,au::104810,82ee9f45-a1b7-5ade-a082-84426dbe619c
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1006,,au::104810,341f3ed7-58ee-566b-b52d-626e6b268aad
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1007,,au::104810,81fa0323-f7bd-54ed-8cd2-18445c7ccc4e
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1008,,au::104810,5a355cb6-2129-526f-a1e9-d7bbf35b1ff7
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1009,,au::104810,a4ab6521-ae55-5cd0-9838-0682bebb59d0
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1010,,au::104810,faea6418-0f7e-5a04-b2fc-bf6d258a98b1
https://data.antwerpen.be/Ark:/83110/636962b7-6ad0-5b44-83b4-9eb0958ecb76,au::104810,Amsterdam (Noord-Holland),mpmbr,tg:mpmbr:1011,,au::104810,0e3d7961-7796-54a6-8ada-cfbc796de5d8
