ResourceID,brocade.id,card,order,adm.inv,adm.isadPartOf,adm.magazijnplaats,adm.volgnummer,adm.note
c236096b-06c7-530b-bc58-b3b14814daf4,tg:mpmbr:729,Items,1,Arch. 89,isad:mpm:42,10 Q 2 D,p. 341-342,
a3f416e8-dad3-5102-9d42-c633dc6a11c5,tg:mpmbr:683,Items,1,SCH HF BA 112,isad:mpm:301,10 Q 6 D,,
72fca728-0a24-5969-afc1-fecfd7c27f16,tg:mpmbr:379,Items,1,Arch.78,isad:mpm:30,10 Q 2 G,p.681-684,
cd6e7e32-8c1b-5589-9570-1f186775519a,tg:mpmbr:396,Items,1,Arch. 79,isad:mpm:31,10 Q 2 G,p. 33-36,
33af37ee-6f0c-50ff-a103-6fb8062f7b6b,tg:mpmbr:1209,Items,1,Arch. 638,isad:mpm:161,10 Q 8 C,p. 810-813,
f84b9af3-1b62-5723-a700-957036a89a9c,tg:mpmbr:816,Items,1,Arch. 89,isad:mpm:42,10 Q 2 D,p. 529-530,
175a644f-ee14-50d0-a496-ae3d619abb9a,tg:mpmbr:115,Items,1,Arch. 337,isad:mpm:58,10 Q 5 C,,Los stuk 1 tussen fol. 1
f4b540b0-7892-55b3-8543-47493244a9fa,tg:mpmbr:1120,Items,1,Arch. 638,isad:mpm:161,10 Q 8 C,p. 472-479,
89e7f07c-16d2-5dd2-b5b5-c99cf3559ca7,tg:mpmbr:545,Items,1,Arch. 79,isad:mpm:31,10 Q 2 G,p. 441-444,
dc2e5096-58d3-5d97-8b2b-f22f198c59fd,tg:mpmbr:1065,Items,1,Arch. 638,isad:mpm:161,10 Q 8 C,p. 360-361,
4ce9275f-20a6-59a0-b323-8a0e8babd4ea,tg:mpmbr:400,Items,1,Arch. 79,isad:mpm:31,10 Q 2 G,p. 49-52,
8fdf9efb-2158-50ea-8907-7ce2f642e003,tg:mpmbr:953,Items,1,Arch. 638,isad:mpm:161,10 Q 8 C,p. 5-6,
38366e5e-64ad-5fb7-b580-70344a0cf4ac,tg:mpmbr:284,Items,1,Arch.78,isad:mpm:30,10 Q 2 G,p.323-326,
ce126942-0cde-5395-9be8-a6857d3d9209,tg:mpmbr:791,Items,1,Arch. 611,isad:mpm:138,10 Q 7 A,p. 495-498,
145e8504-deb9-567e-87b0-89c65b8f5a06,tg:mpmbr:512,Items,1,Arch. 79,isad:mpm:31,10 Q 2 G,p. 319-322,
d2a62fdc-e464-5d7c-89c0-b100cbf86fa0,tg:mpmbr:1177,Items,1,Arch. 638,isad:mpm:161,10 Q 8 C,p. 682-685,
e84fec46-7501-5abe-8192-3ce619cddc09,tg:mpmbr:142,Items,1,Arch. 95 bis,isad:mpm:337,10 Q 2 C,A.c.4.2,
4400909f-d42b-5b49-a44c-6391d7ed99a7,tg:mpmbr:841,Items,1,Arch. 89,isad:mpm:42,10 Q 2 D,p. 59-62,
