Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:mpmbr:729,Brieven,c236096b-06c7-530b-bc58-b3b14814daf4,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c236096b-06c7-530b-bc58-b3b14814daf4,repository numbers,object identifier,0,AA
tg:mpmbr:683,Brieven,a3f416e8-dad3-5102-9d42-c633dc6a11c5,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/a3f416e8-dad3-5102-9d42-c633dc6a11c5,repository numbers,object identifier,0,AA
tg:mpmbr:379,Brieven,72fca728-0a24-5969-afc1-fecfd7c27f16,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/72fca728-0a24-5969-afc1-fecfd7c27f16,repository numbers,object identifier,0,AA
tg:mpmbr:396,Brieven,cd6e7e32-8c1b-5589-9570-1f186775519a,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/cd6e7e32-8c1b-5589-9570-1f186775519a,repository numbers,object identifier,0,AA
tg:mpmbr:1209,Brieven,33af37ee-6f0c-50ff-a103-6fb8062f7b6b,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/33af37ee-6f0c-50ff-a103-6fb8062f7b6b,repository numbers,object identifier,0,AA
tg:mpmbr:816,Brieven,f84b9af3-1b62-5723-a700-957036a89a9c,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/f84b9af3-1b62-5723-a700-957036a89a9c,repository numbers,object identifier,0,AA
tg:mpmbr:115,Brieven,175a644f-ee14-50d0-a496-ae3d619abb9a,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/175a644f-ee14-50d0-a496-ae3d619abb9a,repository numbers,object identifier,0,AA
tg:mpmbr:1120,Brieven,f4b540b0-7892-55b3-8543-47493244a9fa,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/f4b540b0-7892-55b3-8543-47493244a9fa,repository numbers,object identifier,0,AA
tg:mpmbr:545,Brieven,89e7f07c-16d2-5dd2-b5b5-c99cf3559ca7,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/89e7f07c-16d2-5dd2-b5b5-c99cf3559ca7,repository numbers,object identifier,0,AA
tg:mpmbr:1065,Brieven,dc2e5096-58d3-5d97-8b2b-f22f198c59fd,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/dc2e5096-58d3-5d97-8b2b-f22f198c59fd,repository numbers,object identifier,0,AA
tg:mpmbr:400,Brieven,4ce9275f-20a6-59a0-b323-8a0e8babd4ea,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/4ce9275f-20a6-59a0-b323-8a0e8babd4ea,repository numbers,object identifier,0,AA
tg:mpmbr:953,Brieven,8fdf9efb-2158-50ea-8907-7ce2f642e003,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/8fdf9efb-2158-50ea-8907-7ce2f642e003,repository numbers,object identifier,0,AA
tg:mpmbr:284,Brieven,38366e5e-64ad-5fb7-b580-70344a0cf4ac,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/38366e5e-64ad-5fb7-b580-70344a0cf4ac,repository numbers,object identifier,0,AA
tg:mpmbr:791,Brieven,ce126942-0cde-5395-9be8-a6857d3d9209,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ce126942-0cde-5395-9be8-a6857d3d9209,repository numbers,object identifier,0,AA
tg:mpmbr:512,Brieven,145e8504-deb9-567e-87b0-89c65b8f5a06,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/145e8504-deb9-567e-87b0-89c65b8f5a06,repository numbers,object identifier,0,AA
tg:mpmbr:1177,Brieven,d2a62fdc-e464-5d7c-89c0-b100cbf86fa0,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/d2a62fdc-e464-5d7c-89c0-b100cbf86fa0,repository numbers,object identifier,0,AA
tg:mpmbr:142,Brieven,e84fec46-7501-5abe-8192-3ce619cddc09,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/e84fec46-7501-5abe-8192-3ce619cddc09,repository numbers,object identifier,0,AA
tg:mpmbr:841,Brieven,4400909f-d42b-5b49-a44c-6391d7ed99a7,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/4400909f-d42b-5b49-a44c-6391d7ed99a7,repository numbers,object identifier,0,AA
