ResourceID,brocade.id,card,order,External Relation Note,External Relation,External Relation URL,External Relation URL Type
4f1a51fd-2360-5bba-85f3-66b0f3dec0d9,tg:mpmbr:670,ExternalRelations,1,Brief nr. 5,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
6981e127-52b7-5fd0-abd4-96b7dce4e0d0,tg:mpmbr:671,ExternalRelations,1,Brief nr. 6,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
ca67e578-258f-5746-a76e-65fa751f6c9c,tg:mpmbr:11,ExternalRelations,1,GV 141,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:1276,zie verder bibliotheekcatalogus Museum Plantin Moretus
d7a2b0af-dd77-5e5e-b58c-2c2ccfa1872d,tg:mpmbr:667,ExternalRelations,1,Brief nr. 1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
a720fedc-875a-5f7b-a64b-44925cf376d1,tg:mpmbr:672,ExternalRelations,1,Brief nr. 7,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
79154d56-55e9-5b89-8c45-997e9b0b030b,tg:mpmbr:668,ExternalRelations,1,Brief nr. 2,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
a5ef5b19-2db2-5719-9684-ffeafd83b351,tg:mpmbr:669,ExternalRelations,1,Brief nr. 4,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
b021eb0c-44f6-5dae-94b0-a5851dbf93af,tg:mpmbr:794,ExternalRelations,1,vol. 8/9 nr. 1467,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:208853,zie verder bibliotheekcatalogus Museum Plantin Moretus
24a11043-ea82-5426-b921-368a4465b5aa,tg:mpmbr:673,ExternalRelations,1,Brief nr. 8,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
aece192c-67ad-53ca-87bf-3c2358ed0834,tg:mpmbr:674,ExternalRelations,1,Brief nr. 3,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6831543,zie verder bibliotheekcatalogus Museum Plantin Moretus
