ResourceID,brocade.id,card,order,ire.isaar.uuid,Textual ISAAR Brocade ID,Textual Actor Role,Textual Actor Note,Textual Actor Widget,Textual Actor Identifier
c236096b-06c7-530b-bc58-b3b14814daf4,tg:mpmbr:729,TextualContent,1,455c1363-f306-5b61-91c4-2c01d43428ab,au::106906,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab
c236096b-06c7-530b-bc58-b3b14814daf4,tg:mpmbr:729,TextualContent,2,a72d23ac-0560-5b54-b4d1-14dce7559732,au::108847,recipients (people),,"dlod={""id"":""ark:/83110/x0/a72d23ac-0560-5b54-b4d1-14dce7559732"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/a72d23ac-0560-5b54-b4d1-14dce7559732
a3f416e8-dad3-5102-9d42-c633dc6a11c5,tg:mpmbr:683,TextualContent,1,b548f1d9-c540-5495-8a6c-bee1b9027fac,au::112451,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/b548f1d9-c540-5495-8a6c-bee1b9027fac"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/b548f1d9-c540-5495-8a6c-bee1b9027fac
a3f416e8-dad3-5102-9d42-c633dc6a11c5,tg:mpmbr:683,TextualContent,2,b03dd40d-6470-5373-baba-0a64aea212a7,au::106903,recipients (people),,"dlod={""id"":""ark:/83110/x0/b03dd40d-6470-5373-baba-0a64aea212a7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/b03dd40d-6470-5373-baba-0a64aea212a7
72fca728-0a24-5969-afc1-fecfd7c27f16,tg:mpmbr:379,TextualContent,1,56bc227b-cbb8-5cb4-9e7f-8b04702707ec,au::107473,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/56bc227b-cbb8-5cb4-9e7f-8b04702707ec"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/56bc227b-cbb8-5cb4-9e7f-8b04702707ec
72fca728-0a24-5969-afc1-fecfd7c27f16,tg:mpmbr:379,TextualContent,2,9f62622e-af8f-5120-8bb2-771de1268484,au::106908,recipients (people),,"dlod={""id"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484
cd6e7e32-8c1b-5589-9570-1f186775519a,tg:mpmbr:396,TextualContent,1,56bc227b-cbb8-5cb4-9e7f-8b04702707ec,au::107473,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/56bc227b-cbb8-5cb4-9e7f-8b04702707ec"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/56bc227b-cbb8-5cb4-9e7f-8b04702707ec
cd6e7e32-8c1b-5589-9570-1f186775519a,tg:mpmbr:396,TextualContent,2,9f62622e-af8f-5120-8bb2-771de1268484,au::106908,recipients (people),,"dlod={""id"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484
33af37ee-6f0c-50ff-a103-6fb8062f7b6b,tg:mpmbr:1209,TextualContent,1,7e42ba19-e39b-58c3-ae94-e5a49268569b,au::113582,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b
33af37ee-6f0c-50ff-a103-6fb8062f7b6b,tg:mpmbr:1209,TextualContent,2,b2f29277-6de2-5f8d-9e92-b2499eaf326d,au::113585,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d
33af37ee-6f0c-50ff-a103-6fb8062f7b6b,tg:mpmbr:1209,TextualContent,3,c168acff-a59e-552b-9822-11b3f97f4b55,au::108419,recipients (people),,"dlod={""id"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55
33af37ee-6f0c-50ff-a103-6fb8062f7b6b,tg:mpmbr:1209,TextualContent,4,ef8de797-30b0-597d-b7a3-d4745423e3be,au::108564,recipients (people),,"dlod={""id"":""ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be
f84b9af3-1b62-5723-a700-957036a89a9c,tg:mpmbr:816,TextualContent,1,50d2268a-3bf7-5f73-827f-ffeb1016b259,au::108212,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/50d2268a-3bf7-5f73-827f-ffeb1016b259"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/50d2268a-3bf7-5f73-827f-ffeb1016b259
f84b9af3-1b62-5723-a700-957036a89a9c,tg:mpmbr:816,TextualContent,2,9f62622e-af8f-5120-8bb2-771de1268484,au::106908,recipients (people),,"dlod={""id"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484
f84b9af3-1b62-5723-a700-957036a89a9c,tg:mpmbr:816,TextualContent,3,7e0b8111-6d6a-5224-8df5-18ef038bd6e6,au::106907,recipients (people),,"dlod={""id"":""ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6
175a644f-ee14-50d0-a496-ae3d619abb9a,tg:mpmbr:115,TextualContent,1,69593145-b128-53c7-ade9-9fb7f865601d,au::109676,correspondents (correspondence writers),,"dlod={""id"":""ark:/83110/x0/69593145-b128-53c7-ade9-9fb7f865601d"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/69593145-b128-53c7-ade9-9fb7f865601d
