ResourceID,brocade.id,card,order,ire.isaar.uuid,Brocade Production Actor ID,Production Actor Role,Production Actor Widget,Production Actor Identifier
9ad9e289-a225-5297-aa76-547f4a84f063,tg:lhps:30552,ProductionActors,1,ccc30780-96b5-535a-b598-631fb875bd06,au::45461,printers (people),"dlod={""id"":""ark:/83110/x0/ccc30780-96b5-535a-b598-631fb875bd06"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/ccc30780-96b5-535a-b598-631fb875bd06
8c9b9462-a190-5ab1-9502-2d241b79933c,tg:lhps:3721,ProductionActors,1,8712f973-47f5-50e8-ae72-125fed1f429e,au::45510,printers (people),"dlod={""id"":""ark:/83110/x0/8712f973-47f5-50e8-ae72-125fed1f429e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/8712f973-47f5-50e8-ae72-125fed1f429e
f893fc70-00bb-5f5f-985e-0bf44213ce73,tg:lhps:51041,ProductionActors,1,2b5dd1f5-13e6-5ef3-b0ba-f9b1973ab771,au::7681,designers,"dlod={""id"":""ark:/83110/x0/2b5dd1f5-13e6-5ef3-b0ba-f9b1973ab771"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/2b5dd1f5-13e6-5ef3-b0ba-f9b1973ab771
4fd14fcc-cb1b-5d09-bdca-ade565a0171e,tg:lhps:49888,ProductionActors,1,778813ac-5be2-52f6-bb04-9d747acd35fd,au::46290,printers (people),"dlod={""id"":""ark:/83110/x0/778813ac-5be2-52f6-bb04-9d747acd35fd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/778813ac-5be2-52f6-bb04-9d747acd35fd
30483822-d2b8-5522-91be-326506c8e801,tg:lhps:23684,ProductionActors,1,f3e136d2-66e7-502d-89b2-765d7ac9f9ef,au::44366,printers (people),"dlod={""id"":""ark:/83110/x0/f3e136d2-66e7-502d-89b2-765d7ac9f9ef"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/f3e136d2-66e7-502d-89b2-765d7ac9f9ef
2d138a5f-f57d-5dd6-a2ad-96899eabb14c,tg:lhps:13232,ProductionActors,1,d0db08ed-3881-5468-8948-6ae0ed718c40,au::44801,printers (people),"dlod={""id"":""ark:/83110/x0/d0db08ed-3881-5468-8948-6ae0ed718c40"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d0db08ed-3881-5468-8948-6ae0ed718c40
73342a2f-8adb-5759-bf27-b4749aee9845,tg:lhps:47195,ProductionActors,1,4563f6a1-2806-5967-94f9-11fdcd7b6a2b,au::56764,designers,"dlod={""id"":""ark:/83110/x0/4563f6a1-2806-5967-94f9-11fdcd7b6a2b"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/4563f6a1-2806-5967-94f9-11fdcd7b6a2b
b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,tg:lhps:40650,ProductionActors,1,b5574559-1bce-59e6-81d6-a4eb37e8e33d,au::46093,printers (people),"dlod={""id"":""ark:/83110/x0/b5574559-1bce-59e6-81d6-a4eb37e8e33d"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/b5574559-1bce-59e6-81d6-a4eb37e8e33d
cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,tg:lhps:41942,ProductionActors,1,560311a5-026b-5374-a2d7-bda9ac5520da,au::10243,designers,"dlod={""id"":""ark:/83110/x0/560311a5-026b-5374-a2d7-bda9ac5520da"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/560311a5-026b-5374-a2d7-bda9ac5520da
cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,tg:lhps:41942,ProductionActors,2,b7d8f775-b3dd-5d2f-9ad1-d6a112111dfe,au::44644,printers (people),"dlod={""id"":""ark:/83110/x0/b7d8f775-b3dd-5d2f-9ad1-d6a112111dfe"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/b7d8f775-b3dd-5d2f-9ad1-d6a112111dfe
81ed1814-e5a1-54d7-bb87-89c0b5c88837,tg:lhps:53586,ProductionActors,1,86a6ec71-6014-5000-a76d-34723b273fe4,au::6501,printers (people),"dlod={""id"":""ark:/83110/x0/86a6ec71-6014-5000-a76d-34723b273fe4"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/86a6ec71-6014-5000-a76d-34723b273fe4
d3641323-a5b0-5af3-b5ef-98834690fd96,tg:lhps:32095,ProductionActors,1,19ca4102-8b98-555a-b033-bf6902e25d7f,au::58787,designers,"dlod={""id"":""ark:/83110/x0/19ca4102-8b98-555a-b033-bf6902e25d7f"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/19ca4102-8b98-555a-b033-bf6902e25d7f
59c8bf1e-503c-5024-80af-3d2b60ae2e26,tg:lhps:30102,ProductionActors,1,0a9a1e98-0f44-59d2-9130-11c0ba96e73a,au::58704,designers,"dlod={""id"":""ark:/83110/x0/0a9a1e98-0f44-59d2-9130-11c0ba96e73a"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/0a9a1e98-0f44-59d2-9130-11c0ba96e73a
aeb9ca95-a323-5689-8e5e-04600caeaa00,tg:lhps:6489,ProductionActors,1,10b665ad-3766-5b72-8f3c-e62086558c2d,au::15035,designers,"dlod={""id"":""ark:/83110/x0/10b665ad-3766-5b72-8f3c-e62086558c2d"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/10b665ad-3766-5b72-8f3c-e62086558c2d
aeb9ca95-a323-5689-8e5e-04600caeaa00,tg:lhps:6489,ProductionActors,2,639c9cb0-4387-589f-ad06-2cfa055af8bd,au::44832,printers (people),"dlod={""id"":""ark:/83110/x0/639c9cb0-4387-589f-ad06-2cfa055af8bd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/639c9cb0-4387-589f-ad06-2cfa055af8bd
8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,tg:lhps:3371,ProductionActors,1,fab83157-2fe1-521d-90e5-803842578fc7,au::44622,designers,"dlod={""id"":""ark:/83110/x0/fab83157-2fe1-521d-90e5-803842578fc7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/fab83157-2fe1-521d-90e5-803842578fc7
b362c266-7802-5e2c-8e99-b118e5f8c762,tg:lhps:683,ProductionActors,1,86a6ec71-6014-5000-a76d-34723b273fe4,au::6501,printers (people),"dlod={""id"":""ark:/83110/x0/86a6ec71-6014-5000-a76d-34723b273fe4"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/86a6ec71-6014-5000-a76d-34723b273fe4
df18cc73-b836-5d25-b31f-e2d06c18827b,tg:lhps:45002,ProductionActors,1,d8e256f1-f1e6-5399-856c-9ce5157ef55f,au::7262,designers,"dlod={""id"":""ark:/83110/x0/d8e256f1-f1e6-5399-856c-9ce5157ef55f"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d8e256f1-f1e6-5399-856c-9ce5157ef55f
3a86188e-49d1-5143-bf96-ee7eacd27e65,tg:lhps:13662,ProductionActors,1,e49533b3-5f74-527f-bd37-70f469c6450c,au::19428,designers,"dlod={""id"":""ark:/83110/x0/e49533b3-5f74-527f-bd37-70f469c6450c"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e49533b3-5f74-527f-bd37-70f469c6450c
3a86188e-49d1-5143-bf96-ee7eacd27e65,tg:lhps:13662,ProductionActors,2,86d9a3b9-e33a-51e8-8a01-0f65e6525768,au::47621,printers (people),"dlod={""id"":""ark:/83110/x0/86d9a3b9-e33a-51e8-8a01-0f65e6525768"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/86d9a3b9-e33a-51e8-8a01-0f65e6525768
959eaa13-0eaa-5a72-85d0-4303addd3681,tg:lhps:59021,ProductionActors,1,4262fbfb-984f-5561-b4e6-1f37493e8356,au::57480,designers,"dlod={""id"":""ark:/83110/x0/4262fbfb-984f-5561-b4e6-1f37493e8356"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/4262fbfb-984f-5561-b4e6-1f37493e8356
959eaa13-0eaa-5a72-85d0-4303addd3681,tg:lhps:59021,ProductionActors,2,678ee828-ccf3-54d7-9adb-4c29a6790222,au::108551,photographers,"dlod={""id"":""ark:/83110/x0/678ee828-ccf3-54d7-9adb-4c29a6790222"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/678ee828-ccf3-54d7-9adb-4c29a6790222
