brocade.id,ResourceID,card,order,Acquisition Note,Location Number,Registration Number value,Archive Note,adm.note,Serial Number,adm.note.language,adm.note.type
tg:lhps:57896,d9198741-6a71-5c44-afb8-139f34d3de4f,Items,1,tr:lh:110342,WW 129 / A,,,,,Nederlands,remarks
tg:lhps:30552,9ad9e289-a225-5297-aa76-547f4a84f063,Items,1,,S 295 / A,225263/534,,,,Nederlands,remarks
tg:lhps:3721,8c9b9462-a190-5ab1-9502-2d241b79933c,Items,1,,J 3358 / A,239374/1,,,,Nederlands,remarks
tg:lhps:51041,f893fc70-00bb-5f5f-985e-0bf44213ce73,Items,1,,GG 10 / A,,isad:lh:102719,,,Nederlands,remarks
tg:lhps:2833,21c98bbb-66e7-5700-a722-9e9133147c34,Items,1,,G 29 / A,239475,,,,Nederlands,remarks
tg:lhps:29289,a55f16dd-08d1-5f6e-87fa-f9ca9233c219,Items,1,tr:lh:9937,V 75457 / A (VM771),225261/771,isad:lh:92204,,,Nederlands,remarks
tg:lhps:56784,f3cdb4a6-c5bd-504f-9edb-a6d043849d48,Items,1,,B 978 / A,,isad:lh:129102,,,Nederlands,remarks
tg:lhps:49888,4fd14fcc-cb1b-5d09-bdca-ade565a0171e,Items,1,tr:lh:110342,S 849 / A,,,,,Nederlands,remarks
tg:lhps:49888,4fd14fcc-cb1b-5d09-bdca-ade565a0171e,Items,2,,VV 322 / A,,,,,Nederlands,remarks
tg:lhps:23684,30483822-d2b8-5522-91be-326506c8e801,Items,1,,L 518 / A,225237/33a,,,,Nederlands,remarks
tg:lhps:24141,62fe1480-2a29-52a7-a83d-48890c025ad3,Items,1,tr:lh:7875,O 3369 / A (CM1153),225212/2150,isad:lh:92200,,,Nederlands,remarks
tg:lhps:59471,48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,Items,1,tr:lh:110342,F 277 / A,,,,,Nederlands,remarks
tg:lhps:42397,c36ffa9b-bf17-5913-992c-9b5461962379,Items,1,,B 557 / A,225279/225,,,,Nederlands,remarks
tg:lhps:13232,2d138a5f-f57d-5dd6-a2ad-96899eabb14c,Items,1,tr:lh:7632,S 4686 / A,213769,,,,Nederlands,remarks
tg:lhps:45452,54e487c2-d9a2-5bc9-9bfd-fff37c832817,Items,1,,II 2 / A,225289/489,,,,Nederlands,remarks
tg:lhps:22996,8c9337a6-1fd9-51cd-9df9-d84d20144d84,Items,1,,K 98497 / A,225234/22,,,,Nederlands,remarks
tg:lhps:47195,73342a2f-8adb-5759-bf27-b4749aee9845,Items,1,,JJ 19 / A,,,,,Nederlands,remarks
tg:lhps:729,528c7092-4e99-5cf9-be4f-7d9121f0906c,Items,1,tr:lh:5096,H 3543 / A,100730/1,isad:lh:92255,,,Nederlands,remarks
tg:lhps:729,528c7092-4e99-5cf9-be4f-7d9121f0906c,Items,2,,H 3543 / A,233899,,,,Nederlands,remarks
tg:lhps:16030,8f37cfbe-cfae-53da-9474-1a3809bb9a7e,Items,1,tr:lh:7634,AA 105 / A,212813/1,,,,Nederlands,remarks
