brocade.id,ResourceID,card,order,Comment,if.user,Legacy Comment Type
tg:lhps:41942,cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,Users,1,aankoop archief Key 2010,clambrechts,commentaar gebruiker
tg:lhps:36486,d7e3736c-a419-5d5b-88d0-7e63e550016c,Users,1,Originele fiche ontbreekt,rlucas,commentaar gebruiker
tg:lhps:33391,80c03d1f-0bd9-5a54-a9d8-24ed0c79b926,Users,1,zie ook AV.14.6.1284,usystem,commentaar gebruiker
tg:lhps:7627,59f12100-298f-55a0-b183-c48f6f71efe2,Users,1,THALIAþalia0321.tif,pminasyan,commentaar gebruiker
tg:lhps:32580,a14da7a5-bd31-5a72-bff2-1fb47764f15c,Users,1,zie ook AV.14.6.1225 (variant),usystem,commentaar gebruiker
tg:lhps:12835,c10e92ce-7a9b-5ba0-b5a0-56596e3521a1,Users,1,Collectie Middelheim,usystem,commentaar gebruiker
tg:lhps:10388,7b0c4ec6-0bcf-563b-9c75-495fa0030dc9,Users,1,"Aankoop De Roos, 1993 (170737-20);
Schenking Karel van Deuren, 1992 (185366)",pminasyan,commentaar gebruiker
tg:lhps:9455,583fc3b3-d0de-5a15-9d8c-2751bd89871b,Users,1,"De prent werd reeds eerder gebruikt voor een affiche met volgend opschrift: Ier Salon du Livre. Exposition Internationale de Photogravure et de l'Illustration du Livre, dans les Galeries du Musée du Nord, du 24 fév. au 11 mars 1906. Gepubliceerd in: <i>Les annales de l'Imprimerie</i>, Ve ann., nr. III, mars 1906",pminasyan,commentaar gebruiker
tg:lhps:11825,bd6b672c-d351-53f2-8c44-a761b09e3ba4,Users,1,Schenking familie Verbaere,usystem,commentaar gebruiker
tg:lhps:11258,745f3820-a700-5a7b-b705-95e4fcb9cd63,Users,1,HIRES027/affiche/11258a.jpg,usystem,commentaar gebruiker
tg:lhps:12862,edcd1e64-b06f-5198-8d3e-273e136ed779,Users,1,Collectie Middelheim,usystem,commentaar gebruiker
tg:lhps:2921,50644464-1d72-513e-b58b-800dc06a9d4c,Users,1,"ex in LK V,10 op karton gekleefd",rlucas,commentaar gebruiker
tg:lhps:17949,e85aa242-4ba5-5483-a220-477847b2e9a3,Users,1,"affiche broos, niet raadpleegbaar",usystem,commentaar gebruiker
tg:lhps:9814,e3a8cefe-2533-5df9-82d8-8dfe3c37e29d,Users,1,"Aankoop Quisquater, 1996",rlucas,commentaar gebruiker
tg:lhps:12248,954819a2-d2b4-5f40-9003-75ca6fb0ba90,Users,1,Schenking Villanella<br>HIRES\affiche½248a.tif,rlucas,commentaar gebruiker
tg:lhps:11872,7484f655-6db1-56b6-b62b-e9a277a3d169,Users,1,Schenking erven Verbaere,usystem,commentaar gebruiker
tg:lhps:1462,7fc052e4-7ea2-5ae8-b220-8ff7bd490d47,Users,1,"In bruikleen n.a.v. de tentoonstelling: """" Hendrik Conscience"""" in het Museum Albert Van Dijck van 1 juli tot 17 juli 2005. Afgehaald op 27/06/2005.",usystem,commentaar gebruiker
