Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhps:57896,Affiches,https://anet.be/record/opaclhobj/tg:lhps:57896/N,d9198741-6a71-5c44-afb8-139f34d3de4f,BE-ANN07/ps/000053692,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d9198741-6a71-5c44-afb8-139f34d3de4f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:30552,Affiches,https://anet.be/record/opaclhobj/tg:lhps:30552/N,9ad9e289-a225-5297-aa76-547f4a84f063,BE-ANN07/ps/000029857,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9ad9e289-a225-5297-aa76-547f4a84f063,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:3721,Affiches,https://anet.be/record/opaclhobj/tg:lhps:3721/N,8c9b9462-a190-5ab1-9502-2d241b79933c,BE-ANN07/ps/000003688,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8c9b9462-a190-5ab1-9502-2d241b79933c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:51041,Affiches,https://anet.be/record/opaclhobj/tg:lhps:51041/N,f893fc70-00bb-5f5f-985e-0bf44213ce73,BE-ANN07/ps/000046897,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f893fc70-00bb-5f5f-985e-0bf44213ce73,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:2833,Affiches,https://anet.be/record/opaclhobj/tg:lhps:2833/N,21c98bbb-66e7-5700-a722-9e9133147c34,BE-ANN07/ps/000002804,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/21c98bbb-66e7-5700-a722-9e9133147c34,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:29289,Affiches,https://anet.be/record/opaclhobj/tg:lhps:29289/N,a55f16dd-08d1-5f6e-87fa-f9ca9233c219,BE-ANN07/ps/000028601,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a55f16dd-08d1-5f6e-87fa-f9ca9233c219,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:56784,Affiches,https://anet.be/record/opaclhobj/tg:lhps:56784/N,f3cdb4a6-c5bd-504f-9edb-a6d043849d48,BE-ANN07/ps/000052575,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f3cdb4a6-c5bd-504f-9edb-a6d043849d48,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:49888,Affiches,https://anet.be/record/opaclhobj/tg:lhps:49888/N,4fd14fcc-cb1b-5d09-bdca-ade565a0171e,BE-ANN07/ps/000045754,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4fd14fcc-cb1b-5d09-bdca-ade565a0171e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:23684,Affiches,https://anet.be/record/opaclhobj/tg:lhps:23684/N,30483822-d2b8-5522-91be-326506c8e801,BE-ANN07/ps/000023028,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/30483822-d2b8-5522-91be-326506c8e801,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:24141,Affiches,https://anet.be/record/opaclhobj/tg:lhps:24141/N,62fe1480-2a29-52a7-a83d-48890c025ad3,BE-ANN07/ps/000023483,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/62fe1480-2a29-52a7-a83d-48890c025ad3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:59471,Affiches,https://anet.be/record/opaclhobj/tg:lhps:59471/N,48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,BE-ANN07/ps/000055263,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:42397,Affiches,https://anet.be/record/opaclhobj/tg:lhps:42397/N,c36ffa9b-bf17-5913-992c-9b5461962379,BE-ANN07/ps/000038341,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c36ffa9b-bf17-5913-992c-9b5461962379,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:13232,Affiches,https://anet.be/record/opaclhobj/tg:lhps:13232/N,2d138a5f-f57d-5dd6-a2ad-96899eabb14c,BE-ANN07/ps/000012753,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2d138a5f-f57d-5dd6-a2ad-96899eabb14c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:45452,Affiches,https://anet.be/record/opaclhobj/tg:lhps:45452/N,54e487c2-d9a2-5bc9-9bfd-fff37c832817,BE-ANN07/ps/000041361,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/54e487c2-d9a2-5bc9-9bfd-fff37c832817,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:22996,Affiches,https://anet.be/record/opaclhobj/tg:lhps:22996/N,8c9337a6-1fd9-51cd-9df9-d84d20144d84,BE-ANN07/ps/000022341,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8c9337a6-1fd9-51cd-9df9-d84d20144d84,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
